"Messier number";"NGC/IC";"Common name";"Picture";"Object Type";"Distance(kly)";"Constellation";"Apparent magnitude";"Right ascension";"Declination"
"M1";"NGC 1952";"Crab Nebula";"http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Crab_Nebula.jpg/75px-Crab_Nebula.jpg";"Supernova remnant";"4.9–8.1";"Taurus";"8.4";"05h 34m 31.94s";"+22° 00′ 52.2″"
"M2";"NGC 7089";" ";"http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Messier_2_Hubble_WikiSky.jpg/75px-Messier_2_Hubble_WikiSky.jpg";"Cluster, globular";"7001330000000000000♠33";"Aquarius";"6.3";"21h 33m 27.02s";"−00° 49′ 23.7″"
"M3";"NGC 5272";" ";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/M3LRGB_891x674.jpg/75px-M3LRGB_891x674.jpg";"Cluster, globular";"7001339000000000000♠33.9";"Canes Venatici";"6.2";"13h 42m 11.62s";"+28° 22′ 38.2″"
"M4";"NGC 6121";" ";"http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Messier_4_Hubble_WikiSky.jpg/75px-Messier_4_Hubble_WikiSky.jpg";"Cluster, globular";"7000720000000000000♠7.2";"Scorpius";"5.9";"16h 23m 35.22s";"−26° 31′ 32.7″"
"M5";"NGC 5904";" ";"http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Messier_5_Hubble_WikiSky.jpg/75px-Messier_5_Hubble_WikiSky.jpg";"Cluster, globular";"7001245000000000000♠24.5";"Serpens";"6.7";"15h 18m 33.22s";"+02° 04′ 51.7″"
"M6";"NGC 6405";"Butterfly Cluster";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/M6a.jpg/75px-M6a.jpg";"Cluster, open";"7000160000000000000♠1.6";"Scorpius";"4.2";"17h 40.1m";"−32° 13′"
"M7";"NGC 6475";"Ptolemy Cluster";"http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Open-cluster-Messier-7.jpeg/75px-Open-cluster-Messier-7.jpeg";"Cluster, open";"0.65–1.31";"Scorpius";"3.3";"17h 53m 51.2s";"−34° 47′ 34″"
"M8";"NGC 6523";"Lagoon Nebula";"http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/LagoonHunterWilson.jpg/75px-LagoonHunterWilson.jpg";"Nebula";"7000410009999999999♠4.1";"Sagittarius";"6.0";"18h 03m 37s";"−24° 23′ 12″"
"M9";"NGC 6333";" ";"http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Messier_object_009.jpg/75px-Messier_object_009.jpg";"Cluster, globular";"7001258000000000000♠25.8";"Ophiuchus";"8.4";"17h 19m 11.78s";"−18° 30′ 58.5″"
"M10";"NGC 6254";" ";"http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Messier_10_Hubble_WikiSky.jpg/75px-Messier_10_Hubble_WikiSky.jpg";"Cluster, globular";"7001143000000000000♠14.3";"Ophiuchus";"6.4";"16h 57m 8.92s";"−04° 05′ 58.07″"
