;Caldwell_number;NGC_IC_designation;object_type;Common_names;Constelation_name_abrv;Hubble_morphological_type;Right_Ascension;Declinaison;Size;major_axis;minor_axis;major__axis_position_angle;B_Apparent_Magnitude;V_Apparent_Magnitude;J_Apparent_Magnitude;H_Apparent_Magnitude;K_Apparent_Magnitude;Mean_surface_brigthness;Center_star_name;center_star_U_maghitude;center_star_B_maghitude;center_star_V_maghitude;NGC_numner;IC_number;Identifiers;NED_notes;OpenNGC_notes
0;C1;NGC0188;Open Cluster;;Cep;;00:47:27.53;+85:16:10.7;Size: 14;17.7;;;8.91;8.1;;;;;;;;;;;C 001,MWSC 0074;;
1;C2;NGC0040;Planetary Nebula;Bow-Tie nebula;Cep;;00:13:01.03;+72:31:19.0;Size: 0.6;0.8;;;11.27;11.89;10.89;10.8;10.38;;HD 000826,HIP 001041,TYC 4302-01297-1;11.14;11.82;11.58;;;C 002,IRAS 00102+7214,PN G120.0+09.8;;
2;C3;NGC4236;Spiral Galaxy;;Dra;SBd;12:16:42.12;+69:27:45.3;Size: 19 x 7;23.5;6.85;161.0;10.58;10.08;9.91;9.17;9.01;24.58;;;;;;;2MASX J12164211+6927452,C 003,IRAS 12143+6945,MCG +12-12-004,PGC 039346,UGC 07306;;
3;C4;NGC7023;Bright Nebula;Iris Nebula;Cep;;21:01:35.62;+68:10:10.4;Size: 18 x 18;10.0;8.0;;7.2;;;;;;;;;;;;C 004,IRAS 21009+6758,LBN 487;Identified as IR cirrus by Strauss, et al (1992, ApJS, 83, 29).;
4;C5;IC0342;Spiral Galaxy;;Cam;SABc;03:46:48.50;+68:05:46.9;Size: 18 x 17;19.77;18.79;0.0;10.5;;5.66;5.01;4.56;24.85;;;;;;;2MASX J03464851+6805459,C 005,IRAS 03419+6756,MCG +11-05-003,PGC 013826,UGC 02847;;
5;C6;NGC6543;Planetary Nebula;Cat's Eye Nebula;Dra;;17:58:33.39;+66:37:59.5;Size: 0.3/5.8;0.33;;;9.79;9.01;8.95;9.08;8.34;;BD +66 1066,HD 164963;;11.23;11.14;;;2MASX J17583335+6637591,C 006,IRAS 17584+6638,PN G096.4+29.9;Additional radio sources may contribute to the WMAP flux.;Dimensions taken from LEDA
6;C7;NGC2403;Spiral Galaxy;;Cam;SABc;07:36:51.40;+65:36:09.2;Size: 18 x 10;19.95;10.07;126.0;8.84;8.38;6.98;6.42;6.19;23.48;;;;;;;2MASX J07365139+6536091,C 007,IRAS 07321+6543,MCG +11-10-007,PGC 021396,UGC 03918;;
7;C8;NGC0559;Open Cluster;;Cas;;01:29:33.17;+63:18:05.2;Size: 4;9.0;;;9.85;9.5;;;;;;;;;;;C 008,MWSC 0122;;
8;C9;Sh2-155;Bright Nebula;;Cep;;;;Size: 50 x 10;;;;;;;;;;;;;;;;;;
9;C10;NGC0663;Open Cluster;;Cas;;01:46:16.05;+61:13:05.5;Size: 16;6.0;;;7.78;7.1;;;;;;;;;;;C 010,MWSC 0139;;
10;C11;NGC7635;Bright Nebula;Bubble Nebula;Cas;;23:20:45.60;+61:12:44.5;Size: 15 x 8;15.0;8.0;;11.0;;;;;;;;;;;;C 011,LBN 548;;B-Mag taken from LEDA
11;C12;NGC6946;Spiral Galaxy;Fireworks Galaxy;Cep;SABc;20:34:52.32;+60:09:14.1;Size: 11 x 10;11.4;10.84;52.0;10.5;;6.27;5.91;5.37;23.73;;;;;;;2MASX J20345233+6009132,C 012,IRAS 20338+5958,MCG +10-29-006,PGC 065001,UGC 11597;;
12;C13;NGC0457;Open Cluster;Owl Cluster;Cas;;01:19:32.65;+58:17:26.5;Size: 13;7.8;;;6.97;6.4;;;;;;;;;;;C 013,MWSC 0114;;
13;C14;NGC 869/884;Open Cluster;;Per;;;;Size: 30 and 30;;;;;;;;;;;;;;;;;;
14;C15;NGC6826;Planetary Nebula;Blinking Planetary;Cyg;;19:44:48.11;+50:31:30.1;Size: 0.5/2.3;0.42;;;10.02;9.44;9.57;9.6;8.9;;BD +50 2869,HD 186924,SAO 31951,TYC 3565-00205-1;;10.33;10.41;;;2MASX J19444814+5031304,C 015,IRAS 19434+5024,PN G083.5+12.7;;
15;C16;NGC7243;Open Cluster;;Lac;;22:15:08.58;+49:53:51.0;Size: 21;15.0;;;6.54;6.4;;;;;;;;;;;C 016,MWSC 3602;;
16;C17;NGC0147;Elliptical Galaxy;;Cas;E;00:33:12.12;+48:30:31.5;Size: 13 x 8;9.4;5.41;26.0;12.0;9.5;7.9;7.34;7.2;24.29;;;;;;;2MASX J00331212+4830314,C 017,MCG +08-02-005,PGC 002004,UGC 00326;;
17;C18;NGC0185;Elliptical Galaxy;;Cas;E;00:38:57.97;+48:20:14.6;Size: 12 x 10;12.94;10.76;38.0;15.71;9.2;7.32;6.7;6.56;24.58;;;;;;;2MASX J00385796+4820145,C 018,IRAS 00362+4803,MCG +08-02-010,PGC 002329,UGC 00396;;
18;C19;IC5146;Bright Nebula;Cocoon Nebula;Cyg;;21:53:28.76;+47:16:00.9;Size: 12 x 12;10.0;10.0;;7.82;7.2;;;;;;;;;;;C 019,LBN 424,MWSC 3571;The position is for the included star.;
19;C20;NGC7000;Bright Nebula;North America Nebula;Cyg;;20:59:17.14;+44:31:43.6;Size: 120 x 100;120.0;30.0;;4.0;;;;;;;;;;;;C 020,LBN 373;;B-Mag taken from LEDA
20;C21;NGC4449;Irregular Galaxy;;CVn;IB;12:28:11.10;+44:05:37.1;Size: 5 x 4;4.66;2.71;51.0;9.98;9.64;8.1;7.45;7.25;21.1;;;;;;;2MASX J12281111+4405368,C 021,MCG +07-26-009,PGC 040973,SDSS J122811.10+440537.0,UGC 07592;One of two 6cm sources associated with [WB92] 1225+4417;
21;C22;NGC7662;Planetary Nebula;Copeland's Blue Snowball;And;;23:25:53.90;+42:32:05.8;Size: 0.3/2.2;0.28;;;9.2;8.3;;;;;BD +41 4773,HD 220733;;13.6;13.2;;;2MASX J23255415+4232111,C 022,IRAS 23234+4215,PN G106.5-17.6;;
22;C23;NGC0891;Spiral Galaxy;;And;Sb;02:22:33.41;+42:20:56.9;Size: 14 x 3;13.03;3.03;22.0;10.81;9.93;7.26;6.36;5.94;24.17;;;;;;;2MASX J02223290+4220539,C 023,IRAS 02193+4207,MCG +07-05-046,PGC 009031,UGC 01831;;
23;C24;NGC1275;Irregular Galaxy;Perseus A;Per;S0;03:19:48.16;+41:30:42.1;Size: 2.6 x 2;2.16;1.45;110.0;13.1;12.48;9.15;8.49;8.13;23.0;;;;;;;2MASX J03194823+4130420,C 024,IRAS 03164+4119,MCG +07-07-063,PGC 012429,SDSS J031948.15+413042.1,UGC 02669;;
24;C25;NGC2419;Globular Cluster;;Lyn;;07:38:07.95;+38:52:47.9;Size: 4.1;4.5;;;;10.05;;;;;;;;;;;2MASX J07380795+3852479,C 025,MWSC 1290;;
25;C26;NGC4244;Spiral Galaxy;;CVn;Sc;12:17:29.66;+37:48:25.6;Size: 16 x 2.5;16.22;7.24;45.0;10.71;;8.56;7.98;7.72;24.57;;;;;;;2MASX J12172965+3748255,C 026,MCG +06-27-045,PGC 039422,UGC 07322;;
26;C27;NGC6888;Bright Nebula;Crescent Nebula;Cyg;;20:12:06.55;+38:21:17.8;Size: 20 x 10;20.0;10.0;;7.44;;;;;;;;;;;;BD +37 3821,C 027,HD 192163,HIP 099546,LBN 203;;
27;C28;NGC0752;Open Cluster;;And;;01:57:34.82;+37:50:00.2;Size: 50;39.0;;;6.47;5.7;;;;;;;;;;;C 028,MWSC 0151;;
28;C29;NGC5005;Spiral Galaxy;;CVn;SABb;13:10:56.23;+37:03:33.1;Size: 5.4 x 2;4.82;1.52;70.0;14.67;13.67;7.46;6.73;6.44;21.82;;;;;;;2MASX J13105631+3703321,C 029,IRAS 13086+3719,MCG +06-29-052,PGC 045749,UGC 08256;;
29;C30;NGC7331;Spiral Galaxy;;Peg;Sbc;22:37:04.01;+34:24:55.9;Size: 11 x 4;9.27;3.76;170.0;10.35;9.48;7.06;6.29;6.03;23.08;;;;;;;2MASX J22370410+3424573,C 030,IRAS 22347+3409,MCG +06-49-045,PGC 069327,SDSS J223704.05+342456.8,UGC 12113;"HOLM 795H is a double star; HOLM 795G,I are stars.";
