;Messier_number;NGC_IC_designation;object_type;Common_name;Constelation_name_abrv;Constellation_Latin;Constellation_FR;Constellation_EN;Hubble_morphological_type;Discoverer;Year;Season;Right_Ascension;Declinaison;Distance_light_year;Size;major_axis;minor_axis;major__axis_position_angle;Apparent_magnitude_jbcurtin_gitHub;Magnitude;B_Apparent_Magnitude;V_Apparent_Magnitude;J_Apparent_Magnitude;H_Apparent_Magnitude;K_Apparent_Magnitude;Mean_surface_brigthness;Center_star_name;center_star_U_maghitude;center_star_B_maghitude;center_star_V_maghitude;Image1;Image2;image_jbcurtin_gitHub;NGC_number;Identifiers;NED_notes;OpenNGC_notes
0;M1;NGC1952;Supernova remnant / Reste de Supernova;Crab Nebula;Tau;Taurus;Taureau;Bull;;Bévis;1731.0;Winter / Hiver;05:34:31.97;+22:00:52.1;6500.0;6,0' x 4,0';8.0;4.0;;8.4;8;;8.4;;;;;;;;;http://www.lasam.ca/messier/M001.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/9e2732e960c78804a2ee3fa059c69231;http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Crab_Nebula.jpg/75px-Crab_Nebula.jpg;;IRAS 05315+2158,LBN 833;Position is for the Crab pulsar.;V-mag taken from LEDA
1;M2;NGC7089;Globular Cluster / Amas Globulaire;;Aqr;Aquarius;Verseau;Water Bearer;;Maraldi;1746.0;Autumn / Automne;21:33:27.01;-00:49:23.9;55000.0;11,7';8.4;;;6.3;6;;6.25;;;;;;;;;http://www.lasam.ca/messier/M002.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/72a28fa7cc3d992875d9228e54c1027a;http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Messier_2_Hubble_WikiSky.jpg/75px-Messier_2_Hubble_WikiSky.jpg;;MWSC 3526;;
2;M3;NGC5272;Globular Cluster / Amas Globulaire;;CVn;Canes Venatici;Les Chiens de chasse;Hound Dogs;;Messier;1764.0;Spring / Printemps;13:42:11.23;+28:22:31.6;48500.0;18,6';16.2;;;6.2;6;;6.39;;;;;;;;;http://www.lasam.ca/messier/M003.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/fd1a521c7991b13865e64a87cba3d496;http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/M3LRGB_891x674.jpg/75px-M3LRGB_891x674.jpg;;MWSC 2152;;V-mag taken from LEDA
3;M4;NGC6121;Globular Cluster / Amas Globulaire;;Sco;Scorpius;Scorpion;Scorpion;;Chéseaux;1746.0;Summer / Été;16:23:35.40;-26:31:31.9;9900.0;22,8';28.2;;;5.9;5;;5.4;;;;;;;;;http://www.lasam.ca/messier/M004.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/9e84672c59018c447a8a2b69bd0b00b5;http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Messier_4_Hubble_WikiSky.jpg/75px-Messier_4_Hubble_WikiSky.jpg;;MWSC 2396;;V-mag taken from LEDA
4;M5;NGC5904;Globular Cluster / Amas Globulaire;;Se1;Serpens;;;;Kirch;1702.0;Spring / Printemps;15:18:33.75;+02:04:57.7;24800.0;19,9';15.0;;;6.7;5;7.34;5.95;;;;;;;;;http://www.lasam.ca/messier/M005.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7370eb11bf12646584c5e5357cc2556b;http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Messier_5_Hubble_WikiSky.jpg/75px-Messier_5_Hubble_WikiSky.jpg;;MWSC 2286;;
5;M6;NGC6504;Open Cluster / Amas Ouvert;Butterfly Cluster;Her;Scorpius;Scorpion;Scorpion;Sa;Hodierna;1654.0;Summer / Été;17:56:05.71;+33:12:30.2;1300.0;15,0';1.94;0.41;95.0;4.2;4;13.4;;10.21;9.51;9.22;22.86;;;;;http://www.lasam.ca/messier/M006.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/76fec88c92a5b715e2d1d7aa5e5f47bf;http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/M6a.jpg/75px-M6a.jpg;;2MASX J17560570+3312300,MCG +06-39-027,PGC 061129,UGC 11053;;
6;M7;NGC6475;Open Cluster / Amas Ouvert;Ptolemy Cluster;Sco;Scorpius;Scorpion;Scorpion;;Ptolémée;;Summer / Été;17:53:51.18;-34:47:34.2;780.0;30,0';22.2;;;3.3;3;3.45;3.3;;;;;;;;;http://www.lasam.ca/messier/M007.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b2950d9724ec8f480da8b4c0d5d5f48b;http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Open-cluster-Messier-7.jpeg/75px-Open-cluster-Messier-7.jpeg;;MWSC 2739;;
7;M8;NGC6523;Emission Nebula / Nébuleuse à émission;Lagoon Nebula;Sgr;Sagittarius;Sagittaire;Archer;;Flamsteed;1680.0;Summer / Été;18:03:41.27;-24:22:48.6;4850.0;90,0' x 40,0';45.0;30.0;;6.0;5;5.0;5.8;;;;;;;;;http://www.lasam.ca/messier/M008.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0a09915c6203f288d82ddb1236a986a1;http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/LagoonHunterWilson.jpg/75px-LagoonHunterWilson.jpg;NGC6533;LBN 25;Nominal position for NGC 6533 is -30 arcmin in error.;B-Mag taken from LEDA, V-mag taken from HEASARC's messier table
8;M9;NGC6333;Globular Cluster / Amas Globulaire;;Oph;Ophiuchus;Ophiuchus;Serpent Holder;;Messier;1764.0;Summer / Été;17:19:11.78;-18:30:58.5;25800.0;5,5';6.9;;;8.4;7;9.36;8.42;;;;;;;;;http://www.lasam.ca/messier/M009.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/5f5ace9ee1c128a336b845ef0262e69c;http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Messier_object_009.jpg/75px-Messier_object_009.jpg;;MWSC 2567;;
9;M10;NGC6254;Globular Cluster / Amas Globulaire;;Oph;Ophiuchus;Ophiuchus;Serpent Holder;;Messier;1764.0;Summer / Été;16:57:08.99;-04:05:57.6;16300.0;12,2';9.3;;;6.4;6;;4.98;;;;;;;;;http://www.lasam.ca/messier/M010.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/dc53b1bdbeaec70be1cfffe6a8ddb11e;http://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Messier_10_Hubble_WikiSky.jpg/75px-Messier_10_Hubble_WikiSky.jpg;;MWSC 2498;;
